keyword	incl. RTs	n_twir	n_foc	corr	p	corr_ma	p_ma	corr-spear	p_spear
airborne	True	999	1804	0.2897598701803882	2.5834282629594907e-20	0.35725601656827116	1.323525550568524e-30	0.2242554970027922	1.402486926694325e-12
cell	True	15893	8150	0.13468390821484558	2.450107195350052e-05	0.20026854332407792	3.0464216265503677e-10	0.25261950275331574	1.1643726600414806e-15
clusters	True	416	201	0.19569405004993237	7.165828531506923e-10	0.26779741588936096	2.0737369918534292e-17	0.05982505363168061	0.06185788341851001
coronavirus	True	20402	7268	0.6393903592151245	3.491428575518272e-113	0.8665914185421298	8.822814892180527e-295	0.639210107971014	4.2216025164369796e-113
deaths	True	9327	3266	0.09114012654329366	0.004397719539113626	0.18864952198279594	3.138547518999363e-09	0.2654202743628028	3.493933153479602e-17
health	True	25331	12586	0.09702745835601252	0.002421728864688978	0.1875926979728828	3.852818123845403e-09	0.27620772775980484	1.5639756938584469e-18
hydroxychloroquine	True	6025	1736	0.21631159531059269	8.692422896818162e-12	0.36848879901579934	1.358147841749119e-32	0.4948519263992881	2.3288652459554435e-61
immune	True	4937	4109	0.20196951451569553	1.9643586625157e-10	0.31926149954318317	1.9052047154614403e-24	0.2417958527384018	1.9445242540206177e-14
isolated	True	1369	465	0.006928719044360254	0.8289298774732212	0.008833261740408887	0.7833907942998768	0.06625638725153403	0.0385954451845657
ivermectin	True	3249	2114	0.37844405727328195	1.4726280410457613e-34	0.6789082709188176	3.661911430403468e-132	0.5454874905123378	1.1126445197322613e-76
masks	True	5754	5257	0.4246205833485751	5.891345562866935e-44	0.5868221830949403	6.510742339875432e-91	0.3880584227049838	2.1486334313242935e-36
myocarditis	True	1116	1651	0.17983469722206982	1.564902446542529e-08	0.41614690636457174	5.934335501543503e-42	0.4691743334769164	1.6038217507823135e-54
pandemic	True	8727	8486	0.25716884901823306	3.4237798439623764e-16	0.49402959456506196	6.905413192096297e-61	0.4387280649108482	3.919188873639323e-47
remdesivir	True	1213	741	0.46991260410879937	1.0388830726503219e-54	0.5967317195340687	1.0192642161365149e-94	0.2513065309623138	1.650280625287162e-15
sarscov2	True	2232	5826	0.287969603317368	4.5003828467603724e-20	0.4255004658444686	5.633833100120368e-44	0.3706420391661903	4.1054328033583525e-33
seroprevalence	True	243	313	0.16573642514385695	1.9450562057164624e-07	0.2637232821364711	6.508963577518376e-17	0.10125927135711582	0.0015460171218339201
the	True	335629	93763	0.43651806180208214	1.2614306389566093e-46	0.6071537670026542	7.248968012262582e-99	0.556816651778303	1.767841033333643e-80
vaccine	True	30452	16440	0.33045689228363184	2.836292741708363e-26	0.5240554710911367	1.3428787312992516e-69	0.5511697201269585	1.4427644895981414e-78
	True	393327	138784	0.4242522063352697	7.098627864827493e-44	0.5848225153502864	3.6785372401058573e-90	0.5641576142792765	5.089512135759742e-83
airborne	False	430	189	0.1066151502159232	0.0008551623843118777	0.24221576108554663	1.976300230541776e-14	0.06265341700218387	0.050492917338901086
cell	False	8534	1734	0.022464753843890278	0.48352128431473634	-0.006108723485088096	0.849223140404774	0.1096597399455638	0.0006034011393366258
clusters	False	231	25	-0.03899610981223239	0.22377400288385663	-0.008309249819253448	0.7959481864634967	-0.03774997985583986	0.23893600477806343
coronavirus	False	4937	2210	0.7310204978513134	1.0860865228001955e-163	0.9094096756641585	0.0	0.5171741385143318	8.52611115496617e-68
deaths	False	3495	620	0.1785621021881789	1.981354160267005e-08	0.3747238334894851	9.873553032823474e-34	0.20233777044590243	1.8183067131579007e-10
health	False	11787	3022	0.15282313912623577	1.6351622607965038e-06	0.2764057262697893	1.7330186672231426e-18	0.2759709497860488	1.6768588403846687e-18
hydroxychloroquine	False	930	282	0.4372105026191539	8.753946476558987e-47	0.6758578650620457	1.4877815620822057e-130	0.29452688285938605	5.779140910380768e-21
immune	False	2492	730	0.1215956584194392	0.00014118461801031933	0.22961938822989447	4.391444412427389e-13	0.11606012472479504	0.00028166269753061266
isolated	False	774	244	-0.008561727990564648	0.7894677608718774	0.04541285530061158	0.15735868375476053	0.03547339751914779	0.268473892866161
ivermectin	False	1497	451	0.6581499589945901	4.434903874078704e-122	0.870085154353428	5.668661601246964e-300	0.35909732661567817	4.790119726984781e-31
masks	False	3131	1133	0.41433499365367527	9.84820934208434e-42	0.6961376335602087	1.248419532705396e-141	0.3006724375328068	8.037890104787556e-22
myocarditis	False	494	199	0.3055730969962374	1.6107388734960068e-22	0.6509243215850317	4.245050442664608e-118	0.30799430178407206	7.197471986972556e-23
pandemic	False	3514	2326	0.3246583045255974	2.2876448803947163e-25	0.5328849449776076	2.4897504978707877e-72	0.34620382415574186	7.768879247180714e-29
remdesivir	False	421	116	0.22009878520336215	3.674812225177754e-12	0.5535499105215321	4.7483656000730697e-79	0.1342880980340392	2.5897363057182062e-05
sarscov2	False	398	624	0.11165843185929428	0.0004776462580483292	0.24778983249318365	4.730054688869317e-15	0.08904383082948042	0.00539660599003613
seroprevalence	False	110	62	0.04915580038838067	0.12506712595931413	0.16032265795534148	5.116900779260438e-07	0.0585971507159538	0.06741159916683392
the	False	188302	22146	0.40485562902716377	9.436532059912022e-40	0.57179663976875	2.1827424847267277e-85	0.5740192258350778	1.554386669984334e-86
vaccine	False	12303	3024	0.5070336939658036	8.200949387811222e-65	0.7646624657238269	4.1384121907825226e-187	0.5181013337391323	4.497096758967789e-68
	False	217984	35855	0.3782480873144249	1.6028030811546133e-34	0.5267023220950139	2.0774858148044338e-70	0.5729884492387468	3.6691735217958786e-86
